NFT,"When discussing Non-Fungible Tokens (NFTs), “fungibility” refers to an object’s ability to be exchanged for another. For example, an individual dollar is considered fungible, as one dollar is fully interchangeable with another. Artwork is usually deemed non-fungible, as paintings or sculptures are likely to be unequal between them in quality, value, or other attributes. A non-fungible token is a type of token that is a unique digital asset and has no equal token. This is in contrast to cryptocurrencies like ether that are fungible in nature.",,,Software term,NFT,NFT,NFT,NFT,NFT,NFT,ان‌اف‌تی,NFT,NFT,NFT,NFT,NFT,NFT,NFT,رمز NFT,非同質化代幣,NFT,NFT (Μη ανταλλάξιμο διακριτικό),NFT,NFT,NFT,NFT,NFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFT aggregator,"In the initial wave of interest in buying and selling NFTs, a number of NFT marketplaces--websites where you can buy and sell NFTs--were created. As the market matured, aggregators appeared, which offer the user the ability to view available stock and price, buy and sell across marketplaces from a single unified application. Similar to familiar web2 shopping portals, these have come to be known as NFT Marketplace Aggregators, or just NFT Aggregators.",,,Blockchain term,NFT 聚合器,Agrégateur NFT,NFT-Aggregator,agregator NFT,Aggregatore NFT,NFT 애그리게이터,تجمیع‌کننده ان‌اف‌تی,Agregador de NFTs,NFT-агрегатор,agregador de NFT,NFT aggregator,ผู้รวบรวม NFT,NFT toplayıcı,Nền tảng giao dịch NFT,مُجمِعّ NFT,非同質化代幣聚合交易平台,NFT-aggregator,NFT aggregator,NFT एग्रीगेटर,NFT-aggregátor,NFT アグリゲーター,Agregator NFT,NFT-агрегатор,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFT drop,"An NFT drop happens when a new NFT collection is released. NFT drops can vary in both how the NFTs are sold (listed for sale or auction), and in who they’re released to (the public, or a specific list called an “allowlist”).


Often, NFT drops coincide with when the NFTs in the collection are minted, that is, written to the blockchain. You might hear these terms used interchangeably— a drop might be referred to as the project’s mint.",,,Ecosystem term,NFT 投放,mise en vente de NFT,NFT-Drop,NFT drop,NFT drop,NFT 하락,ایردراپ ان‌اف‌تی,Drop de NFTs,NFT-дроп,drop de NFT,Paglaglag ng NFT,การปล่อยผลงาน NFT,NFT drop,Tặng NFT,توزيع NFT,NFT drop,NFT-drop,NFT drop,NFT ड्रॉप,NFT-csepp,NFT ドロップ,Drop / zrzut NFT,NFT-дроп,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngrave,Crypto hardware wallet.,,,Blockchain term,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,N그레이브,کیف پول Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,"Public blockchains consist of a network of computers which sync the network's data, coordinate transaction requests, and participate in consensus regarding the validity of those transactions; each one of these computers is called a 'node'. A full node is a computer that can fully validate transactions and download the entire data of a specific blockchain. In contrast, a “lightweight” or “light” node does not download all pieces of a blockchain’s data, and uses a different validation process.",,,Brand name,节点,nœud,Node,node,nodo,노드,گره,node,узел,nodo,node,โหนด,düğüm,nút,عقدة,節點,node,κόμβος,नोड,csomópont,ノード,Węzeł,вузол,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-fungible token,See NFT,,,Blockchain term,非同质化代币,Jeton non fongible,Non-Fungible token,Non-fungible token,Non-fungible token,대체불가토큰,توکن بی‌همتا,Token não fungível,Невзаимозаменяемый токен,token no fungible,Non-fungible token,โทเค็นที่ไม่สามารถทดแทนได้ ,Nitelikli fikri tapu,Mã thông báo không thể thay thế,رمز غير قابل للاستبدال,非同質化代幣,non-fungible token,Μη Εναλλάξιμα Κρυπτοπαραστατικά,नॉन-फंजिबिल टोकन,nem helyettesíthető token,非代替性トークン,Niewymienny token,Невзаємозамінний токен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nonce,"The word ‘nonce’ has a few different meanings, and in different contexts, it ends up getting used a lot of different ways. Originally formed from a contraction of a phrase meaning “not more than once”, on the Ethereum Mainnet, “nonce” refers to a unique transaction identification number that increases in value with each successive transaction in order to ensure various safety features (such as preventing a double-spend). Note that due to its broader use in cryptography, you may encounter ‘nonce’ being used differently on other sidechains or decentralized projects.",,,Ecosystem term,唯一交易标识号,nonce,Nonce,nonce,nonce,논스,نانس,nonce,одноразовый код,nonce,nonce,นอนซ์,nonce,số nonce,الرقم التعريفي,僅使用一次的數字,nonce,αριθμολέξημα,nonce,nonce,ナンス,Nonce,одноразовий номер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
off-chain,"A transaction that is processed outside the blockchain network with an increased speed and reduced cost. There are two different transactions that occur on the blockchain:

On-chain transactions are those reflected on the distributed ledger and are visible to all the network users. On the other hand, off-chain transactions occur outside the blockchain network. Such a transaction doesn’t need the services of miners because no ledger verification is conducted.
Unlike on-chain transactions, off-chain transactions can be made instantly. This method entails lower fees, happens instantly, and offers more anonymity. ",,,Blockchain term,链下,hors chaîne,Off-Chain,off-chain,off-chain,오프체인,برون زنجیره‌ای,off-chain,оффчейн,fuera de cadena,wala sa chain,นอกเชน,zincir dışı,ngoài chuỗi,خارج البلوكتشين,鏈下,off-chain,εκτός αλυσίδας,ऑफ-चेन,láncon kívüli,オフチェーン,Transakcje off-chain (poza łańcuchem),офчейн-транзакція,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ommer block,"Under the Proof of Work (PoW) consensus mechanism, miners received rewards for being the first to mine a new block. However, at times a block would be mined just after, and in competition with, the last block. This block, known as an ommer and previously as an uncle, could get rolled into subsequent blocks and the miner of the original ommer would get a partial block reward. All of this functionality was deprecated as of the launch of the Beacon Chain.",,,Blockchain term,ommer 区块,bloc ommer,Ommer Block,block ommer,ommer block,오머 블록,بلاک اومر,bloco ommer,блок оммер,bloque ommer,ommer block,ออมเมอร์บล็อก,ommer blok,khối ommer,كتلة ommer,叔塊,ommerblock,ommer block,ओमेर (ommer) ब्लॉक,ommer blokk,オマーブロック,Ommer,оммер-блок,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
on-chain,"On-chain, as the name implies, refers to blockchain transactions that exist on and have been verified to the blockchain by miners or validators. On-Chain also means that transactions have been recorded to the blockchain",,,Blockchain term,链上,dans la chaîne,On-Chain,on-chain,on-chain,온체인,درون زنجیره‌ای,on-chain,ончейн,en cadena,nasa chain,ในเชน,zincir içi,trên chuỗi,على البلوكتشين,鏈上,on-chain,εντός αλυσίδας,ऑन-चेन,láncon belüli,オンチェーン,Transakcje on-chain (w łańcuchu),ончейн-транзакція,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"on-ramp, off-ramp","Based on a metaphor from the American highway system, ""on-ramp"" refers to a tool, or a service provider, or the action, of converting fiat currency into tokens on a blockchain. Conversely, ""off-ramp"" refers to exchanging on-chain assets for their value in a given fiat currency. There are many providers of such services, and MetaMask users have access to them through the ""Buy Crypto"" feature.",,,Blockchain term,充值，提现,"conversion de monnaie fiat en jetons sur la blockchain (on-ramp), échange d’actifs  de la blockchain en monnaie fiat (off-ramp)","On-Ramp, Off-Ramp",on-ramp; off-ramp,"on-ramp, off-ramp","온램프, 오프램프",مسیر ورود، مسیر خروج,"on-ramp, off-ramp","он-рэмп, офф-рэмп","rampa de acceso, rampa de salida","nasa rampa, wala sa rampa","แลกเข้า, แลกออก","on-ramp, off-ramp","chuyển đổi xuôi, chuyển đổi ngược",تحويل أصل رقمي إلى عملة عادية، عملة عادية إلى أصل رقمي,入金、出金,"on-ramp, off-ramp","on-ramp, off-ramp","ऑन-रैंप, ऑफ-रैंप","on-ramp, off-ramp","オンランプ, オフランプ","Usługi on-ramp, off-ramp","он-ремп, оф-ремп",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSea,OpenSea is the world's first and largest web3 marketplace for NFTs and crypto collectibles.,,,Ecosystem term,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,اوپن سی,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,OpenSea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opera,Internet browser.,,,Brand name,Opera,Opera,Opera,Opera,Opera,오페라,اپرا,Opera,Opera,Opera,Opera,Opera,Opera,Opera,أوبرا,Opera,Opera,Opera,Opera,Opera,Opera,Opera,Opera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimism,"Optimism is a layer-2 scaling solution for Ethereum, which is a blockchain-based platform for decentralized applications. It is designed to reduce the cost and increase the speed of transactions on the Ethereum network. Optimism works by using a technique called optimistic rollups, which allows it to process a large number of transactions off-chain, while still maintaining the security and decentralization of the Ethereum network.

In optimistic rollups, transactions are initially processed off-chain, and a summary of these transactions is then submitted to the Ethereum network for verification. This verification process ensures that the transactions are valid and that no fraud has occurred. Once the transactions are verified, they are added to the Ethereum blockchain, allowing users to interact with the decentralized applications built on the platform.",,,Brand name,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,شبکه آپتیمیزم,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,Optimism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optimistic rollup,"A rollup that assumes the validity and good faith of transactions, and only runs a fraud proof in the case of fraud being alleged. See also 'rollup'.",,,Brand name,乐观性扩容方案（ORU）,rollup optimisé,Optimistischer Rollup,optimistic rollup,rollup ottimistico,옵티미스틱 롤업,راهکارهای خوشبینانه,rollup otimista,оптимистичный роллап,rollup optimista,optimistic rollup,โรลล์อัปแบบออปติมิสติก,optimistik rollup,tổng hợp lạc quan,تجميعات Optimistic,optimistic rollup,optimistic rollup,optimistic rollup,ऑप्टिमिस्टिक रॉलअप,optimista összesítés,オプティミスティックロールアップ,Rollup optymistyczny,оптимістичний роллап,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,"Typically, an oracle is any entity or person that is relied on to report the outcome of an event. In a blockchain network an oracle (human or machine) helps communicate data to a smart contract, which can then be used to verify an event or specific outcome.",,,Ecosystem term,预言机,Oracle,Oracle,Oracle,Oracle,오라클,اوراکل,Oráculo,Oracle,oráculo,Orakulo,ออราเคิล,Oracle,Nguồn cấp dữ liệu,أوراكل,預言機,oracle,Oracle,Oracle,Oracle,Oracle,Wyrocznia (Oracle),Oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParaSwap,"ParaSwap is a decentralized exchange (DEX) aggregator that optimizes swaps for users through better prices, limited gas fees, and lower slippage. ParaSwap sources their liquidity from major DEXes such as Uniswap, Balancer, Curve, Kyber, in addition to ParaSwapPool, their professional Market Maker network.",,,Ecosystem term,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,파라스왑,پاراسواپ,ParaSwap,Paraswap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,ParaSwap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parity,"In a general sense, to say that something 'has parity' with another thing means 'equal in features or other important quality', and is a phrase often used by software developers and computer scientists. Parity Technologies is the name of a blockchain technology company that is developing a number of significant projects in the blockchain space. One of its first projects was an Ethereum client, known as Parity; its name was changed to Parity Ethereum, and then was spun out as a DAO-owned and operated project called Open Ethereum, which has also been deprecated. See also 'client'.",,,Brand name,Parity,parité,Parität,paritas,parità,패리티,کلاینت پریتی,paridade,паритет,paridad,pagkakapantay-pantay,แพริตี,parite,ngang bằng,Parity,同等,pariteit,ισοτιμία,पैरिटी,paritás,パリティ,Parytet,паритет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passphrase,"See ""Secret Recovery Phrase""",,,Software term,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,Parity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
password manager,"A password manager is a tool or software that stores all sorts of passwords needed for online applications and services.
Password manager ",,,Blockchain term,密语,Phrase d’authentification,Passphrase,Passphrase,Passphrase,패스프레이즈,عبارت عبور,Frase secreta,Парольная фраза,frase de contraseña,Passphrase,วลีรหัสผ่าน,Parola,Cụm mật khẩu,عبارة المرور,助記詞,wachtwoordzin,Φράση πρόσβασης,पासफ्रेज़,jelszó,パスフレーズ,Passphrase,Парольна фраза,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PayPal,PayPal is a multinational financial technology company operating an online payments system in the majority of countries.,,,Software term,密码管理工具,gestionnaire de mots de passe,Passwortmanager,pengelola kata sandi,gestore di password,비밀번호 매니저,مدیر گذرواژه,gerenciador de senhas,менджер паролей,gestor de contraseñas,tagapamahala ng password,เครื่องมือจัดการรหัสผ่าน,şifre yöneticisi,trình quản lý mật khẩu,مدير كلمات المرور,密鑰管理員,wachtwoordmanager,Διαχείριση κωδικών πρόσβασης,password manager,jelszókezelő,パスワードマネージャー,Menedżer haseł,менеджер паролів,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
